Company name,Rating,Reviews,Company type,Office,Highly Rated For,Critically Rated For
Zen Technologies,3.8,125,Defence & Aerospace,Hyderabad / Secunderabad +5 other locations,None,Promotions / Appraisal
Kirloskar Technologies,4.0,125,Medical Equipment,Jaipur +26 other locations,"Work Life Balance, Job Security, Salary & Benefits",None
Salasar Techno Engineering,3.9,125,Iron & Steel,Ghaziabad +22 other locations,Job Security,Promotions / Appraisal
Shipping Corporation of India,3.8,125,Logistics,Mumbai +10 other locations,"Job Security, Work Life Balance, Work Satisfaction",None
LimeRoad,2.7,125,Internet,Gurgaon / Gurugram +5 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Group Pharmaceuticals,4.1,125,Pharma,Bangalore / Bengaluru +23 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Geeklurn,3.7,125,EdTech,Bangalore / Bengaluru +2 other locations,None,None
Svasti Microfinance,4.0,125,Financial Services,Mumbai +47 other locations,"Company Culture, Job Security, Skill Development / Learning",Salary & Benefits
Central Coalfields,4.3,125,Metals & Mining,Ranchi +6 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
DigiVersal Consultants,2.6,125,Internet,Noida +3 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
Barco Electronic Systems,4.3,125,Consumer Electronics & Appliances,Noida +6 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
SACHA Engineering,3.5,125,IT Services & Consulting,Bangalore / Bengaluru +7 other locations,None,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Nordex India,3.7,125,Internet,Chennai +12 other locations,Work Life Balance,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Bhavna Corp.,3.2,125,IT Services & Consulting,Noida +7 other locations,None,"Job Security, Skill Development / Learning, Company Culture"
TVS - SUNDARAM BRAKE LININGS,3.5,125,Auto Components,Chennai +12 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
IFortis Worldwide,3.6,125,IT Services & Consulting,Bangalore / Bengaluru +9 other locations,None,"Salary & Benefits, Job Security, Promotions / Appraisal"
Thinksys Software,3.8,125,IT Services & Consulting,Noida +3 other locations,"Work Life Balance, Skill Development / Learning, Salary & Benefits",None
ObjectWin Technology,3.7,125,Recruitment,Bangalore / Bengaluru +6 other locations,None,"Skill Development / Learning, Job Security, Promotions / Appraisal"
Beyondriffs,4.7,125,Education & Training,Ghaziabad,"Company Culture, Work Life Balance, Work Satisfaction",Salary & Benefits
Shree Technocrat Communication Systems,4.0,125,Telecom,New Delhi +17 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Covestro,4.5,125,N/A,Greater Noida +10 other locations,"Company Culture, Work Life Balance, Salary & Benefits",None
Jobby Engineers,4.2,125,Engineering & Construction,Mumbai +15 other locations,"Work Life Balance, Salary & Benefits, Job Security",None
Kewal Kiran Clothing,4.1,125,Fashion & Textile,Mumbai +30 other locations,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
Hyperpure,3.4,125,N/A,Gurgaon / Gurugram +23 other locations,None,"Promotions / Appraisal, Job Security, Work Life Balance"
Ellucian Higher Education Systems,3.8,125,IT Services & Consulting,Bangalore / Bengaluru +1 other locations,"Company Culture, Work Life Balance","Promotions / Appraisal, Job Security"
ATC (Assam),4.0,125,Logistics,Gurgaon / Gurugram +40 other locations,"Work Life Balance, Work Satisfaction, Salary & Benefits",None
Marengo Asia Hospitals,4.4,125,Healthcare,Faridabad +5 other locations,"Work Life Balance, Skill Development / Learning, Job Security",None
iVenus,3.1,125,Retail,Surat +16 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
Glocal Healthcare Systems,3.4,124,Healthcare,Kolkata +17 other locations,Work Life Balance,"Promotions / Appraisal, Company Culture, Job Security"
Pan Gulf Technologies,4.1,124,Design,Mumbai +7 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Gojavas,4.5,124,Logistics,New Delhi +43 other locations,"Work Satisfaction, Company Culture, Work Life Balance",None
Avvashya Cci Logistics,3.6,124,Logistics,Mumbai +20 other locations,None,"Promotions / Appraisal, Skill Development / Learning"
