Company name,Rating,Reviews,Company type,Office,Highly Rated For,Critically Rated For
Jubilant Foods Works,3.8,2.8k,Hospitality,New Delhi +216 other locations,None,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Escorts Kubota Limited,4.1,2.8k,Engineering & Construction,Faridabad +138 other locations,"Skill Development / Learning, Work Life Balance, Company Culture",None
Vishal Mega Mart,3.8,2.8k,Retail,New Delhi +332 other locations,Salary & Benefits,"Company Culture, Job Security"
Johnson Controls,3.6,2.8k,Industrial Automation,Pune +51 other locations,None,"Promotions / Appraisal, Work Satisfaction, Job Security"
Ipca Laboratories,4.0,2.7k,Pharma,Mumbai +140 other locations,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Reliance Digital,4.1,2.7k,Retail,Mumbai +324 other locations,"Skill Development / Learning, Job Security, Company Culture",None
Glenmark Pharmaceuticals,4.0,2.7k,Pharma,Mumbai +147 other locations,Skill Development / Learning,Promotions / Appraisal
Indian Air Force,4.6,2.7k,Defence & Aerospace,New Delhi +126 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",None
Birlasoft,3.6,2.7k,IT Services & Consulting,Pune +39 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Synechron,3.6,2.7k,IT Services & Consulting,Pune +28 other locations,Salary & Benefits,"Job Security, Promotions / Appraisal"
Aarti Industries,4.2,2.7k,Agro Chemicals,Bharuch +47 other locations,"Job Security, Work Life Balance, Skill Development / Learning",None
NTT Data Information Processing Services,4.0,2.7k,IT Services & Consulting,Bangalore / Bengaluru +32 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
24/7 Customer,3.5,2.7k,Software Product,Bangalore / Bengaluru +30 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Kotak Mahindara Life Insurance,3.8,2.7k,Insurance,Mumbai +227 other locations,Job Security,Promotions / Appraisal
PNB MetLife,3.4,2.7k,Insurance,New Delhi +353 other locations,None,"Job Security, Work Satisfaction, Promotions / Appraisal"
UBS,4.0,2.7k,Financial Services,Pune +18 other locations,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
Honda Motorcycle & Scooter,4.1,2.7k,Automobile,Gurgaon / Gurugram +244 other locations,"Job Security, Work Life Balance, Company Culture",None
Hindustan Coca Cola Beverages,4.2,2.6k,Beverage,Bangalore / Bengaluru +229 other locations,"Skill Development / Learning, Salary & Benefits, Job Security",None
MRF Tyres,3.7,2.6k,Auto Components,Chennai +174 other locations,Job Security,"Company Culture, Work Satisfaction, Work Life Balance"
Paras Hospital,4.5,2.6k,Healthcare,Patna +51 other locations,"Skill Development / Learning, Work Life Balance, Company Culture",None
JK Cement,4.1,2.6k,Building Material,New Delhi +264 other locations,"Salary & Benefits, Job Security, Company Culture",None
DTDC Express,3.8,2.6k,Logistics,New Delhi +240 other locations,None,"Promotions / Appraisal, Salary & Benefits"
KPIT Technologies,3.5,2.6k,Software Product,Pune +33 other locations,None,"Promotions / Appraisal, Work Satisfaction, Job Security"
Reliance Nippon Life Insurance,3.7,2.6k,Insurance,Mumbai +448 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
HARMAN,3.8,2.6k,Consumer Electronics & Appliances,Bangalore / Bengaluru +31 other locations,Work Life Balance,Promotions / Appraisal
Ceat Tyres,4.0,2.6k,Auto Components,Nagpur +119 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
NatWest Group,4.1,2.6k,Banking,Gurgaon / Gurugram +22 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
ABB,4.1,2.6k,Industrial Automation,Bangalore / Bengaluru +96 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
UnitedHealth,4.1,2.6k,Healthcare,Hyderabad / Secunderabad +15 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Kyndryl,4.0,2.6k,IT Services & Consulting,Bangalore / Bengaluru +29 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
GeBBS Healthcare Solutions,3.7,2.6k,Healthcare,Mumbai +20 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
IGT Solutions,3.3,2.6k,IT Services & Consulting,New Delhi +41 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Conduent,3.5,2.6k,BPO,Bangalore / Bengaluru +25 other locations,None,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
InterGlobe Aviation,3.6,2.6k,Aviation,New Delhi +91 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
State Street Corporation,3.8,2.5k,Financial Services,Bangalore / Bengaluru +26 other locations,Job Security,Promotions / Appraisal
CMS IT Services,3.1,2.5k,IT Services & Consulting,Mumbai +143 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Aditya Birla Sun Life Insurance,4.1,2.5k,Insurance,Mumbai +394 other locations,"Company Culture, Job Security, Work Life Balance",None
TVS Credit,4.4,2.5k,NBFC,Chennai +336 other locations,"Company Culture, Job Security, Skill Development / Learning",None
RSPL Group,4.1,2.5k,FMCG,Kanpur +212 other locations,"Job Security, Work Life Balance, Skill Development / Learning",None
Alstom Transportation,3.8,2.5k,Engineering & Construction,Bangalore / Bengaluru +67 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction"
ArcelorMittal Nippon Steel,4.1,2.5k,Iron & Steel,Surat +74 other locations,"Job Security, Skill Development / Learning, Work Life Balance",None
Sahrudaya Healthcare (Medicover Hospitals),4.6,2.5k,Healthcare,Hyderabad / Secunderabad +40 other locations,"Skill Development / Learning, Company Culture, Job Security",None
Motilal Oswal Financial Services,3.8,2.5k,Financial Services,Mumbai +138 other locations,Skill Development / Learning,None
ACC,3.9,2.4k,Building Material,Mumbai +233 other locations,None,Promotions / Appraisal
Tata AIG,4.1,2.4k,Insurance,Mumbai +234 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Titan Company,4.3,2.4k,Retail,Bangalore / Bengaluru +153 other locations,"Job Security, Company Culture, Skill Development / Learning",None
PepsiCo,4.1,2.4k,Food Processing,Hyderabad / Secunderabad +240 other locations,"Company Culture, Work Life Balance, Salary & Benefits",None
Grasim Industries,4.0,2.4k,Building Material,Bharuch +157 other locations,"Job Security, Skill Development / Learning, Work Life Balance",None
UPL,4.1,2.4k,Agro Chemicals,Ankleshwar +168 other locations,"Job Security, Skill Development / Learning, Work Life Balance",None
S&P Global,4.2,2.4k,Analytics & KPO,Hyderabad / Secunderabad +36 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
IDFC FIRST Bharat,4.5,2.4k,NBFC,Chennai +326 other locations,"Salary & Benefits, Job Security, Company Culture",None
Tata Technologies,3.7,2.4k,Engineering & Construction,Pune +47 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Shoppers Stop,4.1,2.4k,Retail,Mumbai +73 other locations,"Job Security, Company Culture, Work Life Balance",None
Tata Capital,4.1,2.4k,NBFC,Mumbai +241 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Zensar Technologies,3.7,2.4k,IT Services & Consulting,Pune +24 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Torrent Pharmaceuticals,3.9,2.4k,Pharma,Ahmedabad +106 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Amazon Transportation Services,4.2,2.4k,N/A,Hyderabad / Secunderabad +199 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning",None
Varroc Group,3.7,2.4k,Auto Components,Pune +58 other locations,None,"Promotions / Appraisal, Company Culture, Job Security"
Afcons Infrastructure,4.3,2.4k,Engineering & Construction,Mumbai +103 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Mankind Pharma,3.9,2.4k,N/A,New Delhi +214 other locations,Salary & Benefits,None
UNO Minda,4.0,2.4k,Auto Components,Pune +91 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Croma,4.0,2.3k,Retail,Mumbai +162 other locations,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Dilip Buildcon,4.0,2.3k,Engineering & Construction,Bhopal +202 other locations,"Skill Development / Learning, Work Satisfaction",None
Walmart,3.8,2.3k,Retail,Bangalore / Bengaluru +84 other locations,"Salary & Benefits, Job Security",Promotions / Appraisal
Bajaj Allianz General Insurance,3.9,2.3k,Insurance,Pune +240 other locations,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
ElasticRun,3.5,2.3k,Logistics,Pune +357 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Flex,4.0,2.3k,Logistics,Chennai +40 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Capita,3.6,2.3k,IT Services & Consulting,Pune +26 other locations,None,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Statestreet HCL Services,3.3,2.3k,BPO,Chennai +16 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
I Process Services,3.9,2.3k,N/A,Mumbai +338 other locations,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Societe Generale Global Solution Centre,3.9,2.3k,IT Services & Consulting,Bangalore / Bengaluru +17 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
GATI-KWE,4.0,2.3k,Logistics,Hyderabad / Secunderabad +154 other locations,"Skill Development / Learning, Job Security",Promotions / Appraisal
HDFC Sales,4.0,2.3k,Financial Services,Mumbai +294 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Nokia,4.2,2.3k,Telecom,Bangalore / Bengaluru +155 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
MSN Laboratories,3.8,2.2k,N/A,Hyderabad / Secunderabad +79 other locations,Job Security,Company Culture
Apollo Tyres,4.0,2.2k,Auto Components,Chennai +151 other locations,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
Sammaan Capital Limited,3.8,2.2k,NBFC,New Delhi +190 other locations,None,Promotions / Appraisal
Nestle,4.0,2.2k,FMCG,Gurgaon / Gurugram +253 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",Promotions / Appraisal
Quest Global,3.6,2.2k,IT Services & Consulting,Bangalore / Bengaluru +36 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Landmark Group,4.0,2.2k,Retail,Bangalore / Bengaluru +150 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Fiserv,3.2,2.2k,FinTech,Pune +31 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Barclays,3.9,2.2k,Banking,Pune +31 other locations,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal
Blue Dart Express,4.1,2.2k,Logistics,Mumbai +245 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Max Healthcare,4.1,2.2k,Healthcare,New Delhi +62 other locations,"Skill Development / Learning, Job Security, Company Culture",None
AGS Health,4.0,2.2k,Analytics & KPO,Chennai +45 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Suzlon Group,4.1,2.2k,Power,Pune +113 other locations,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
BlackBuck,3.8,2.2k,Internet,Bangalore / Bengaluru +333 other locations,None,"Job Security, Promotions / Appraisal"
IKS Health,3.6,2.2k,BPO,Mumbai +21 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Domino's Pizza,4.0,2.2k,N/A,New Delhi +226 other locations,"Skill Development / Learning, Salary & Benefits",None
Bajaj Electricals,4.0,2.1k,Consumer Electronics & Appliances,Mumbai +202 other locations,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal
Zomato,3.8,2.1k,Internet,Gurgaon / Gurugram +194 other locations,None,"Promotions / Appraisal, Job Security"
KocharTech,4.0,2.1k,IT Services & Consulting,Kolkata +24 other locations,"Skill Development / Learning, Company Culture, Job Security",None
Axis Direct,3.9,2.1k,Financial Services,Mumbai +260 other locations,None,Promotions / Appraisal
PhonePe,4.0,2.1k,FinTech,Bangalore / Bengaluru +266 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning",None
G4S,4.0,2.1k,Law Enforcement & Security,Gurgaon / Gurugram +142 other locations,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal
Sterlite Technologies,3.8,2.1k,Hardware & Networking,Aurangabad +88 other locations,None,"Promotions / Appraisal, Job Security"
McDonald's,4.1,2.1k,N/A,New Delhi +140 other locations,"Skill Development / Learning, Company Culture, Job Security",None
Capgemini Engineering,3.5,2.1k,IT Services & Consulting,Bangalore / Bengaluru +25 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Yazaki,3.8,2.1k,Auto Components,Pune +74 other locations,None,Promotions / Appraisal
Britannia,4.1,2.1k,FMCG,Bangalore / Bengaluru +246 other locations,"Job Security, Skill Development / Learning",None
Shree Cement,3.8,2.1k,Building Material,Ajmer +220 other locations,None,"Promotions / Appraisal, Job Security"
Micro Labs,3.7,2.1k,Pharma,Bangalore / Bengaluru +133 other locations,None,"Salary & Benefits, Promotions / Appraisal, Company Culture"
DS Group,4.1,2.1k,FMCG,Noida +229 other locations,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal
XpressBees,3.7,2.1k,N/A,Pune +251 other locations,None,"Promotions / Appraisal, Company Culture, Salary & Benefits"
KPMG Global Services,3.6,2.1k,Management Consulting,Bangalore / Bengaluru +33 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Exide Industries,3.5,2.1k,Auto Components,Kolkata +191 other locations,None,"Promotions / Appraisal, Company Culture, Work Satisfaction"
TVS Supply Chain Solutions,3.9,2.1k,N/A,Chennai +138 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Patanjali Ayurved,4.0,2k,FMCG,Haridwar +264 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
Fujitsu,3.8,2k,IT Services & Consulting,Pune +33 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
KFintech,3.6,2k,N/A,Hyderabad / Secunderabad +103 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Huawei Technologies,4.0,2k,Telecom,Bangalore / Bengaluru +101 other locations,"Salary & Benefits, Skill Development / Learning",Job Security
Mahindra Logistics,3.9,2k,Logistics,Pune +140 other locations,Skill Development / Learning,Promotions / Appraisal
Voltas,4.0,2k,Consumer Electronics & Appliances,Mumbai +181 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Fortis Healthcare,4.1,2k,Healthcare,New Delhi +62 other locations,"Skill Development / Learning, Job Security, Company Culture",None
